ISO Code,Rate,Country,Currency,Reference date (CET)
EUR,1.07586,EUROPEAN MONETARY UNION,Euro,2022-11-24
AFN,89.0225,AFGHANISTAN (Islamic State of),Afghani,2022-11-24
ALL,112.13,ALBANIA,Lek,2022-11-24
DZD,138.6151,ALGERIA,Algerian Dinar,2022-11-24
AOA,511741,ANGOLA,Adjusted Kwanza,2022-11-24
XCD,2.70,ANTIGUA AND BARBUDA,East Caribbean Dollar,2022-11-24
ARS,164.8747,ARGENTINA,Peso,2022-11-24
AMD,395.25,ARMENIA,Armenian Dram,2022-11-24
AWG,1.79,ARUBA,Aruban Florin,2022-11-24
AUD,0.6756,AUSTRALIA,Australian Dollar,2022-11-24
AZN,0.546631,AZERBAIJAN,New Azerbaijan Manat,2022-11-24
BSD,1,BAHAMAS (The),Bahamian Dollar,2022-11-24
BHD,376,BAHRAIN,Bahrain Dinar,2022-11-24
BDT,104.5400,BANGLADESH,Bangladesh Taka,2022-11-24
BBD,2,BARBADOS,Barbados Dollar,2022-11-24
BYN,N.A.,BELARUS,Belarussian Ruble (new),2022-11-24
BZD,2,BELIZE,Belize Dollar,2022-11-24
XOF,629940,BENIN,CFA Franc,2022-11-24
BMD,1,BERMUDA,Bermuda Dollar,2022-11-24
BTN,81.6571,BHUTAN,Ngultrum,2022-11-24
BOB,6.91,BOLIVIA,Boliviano,2022-11-24
BAM,1.878258,BOSNIA and HERZEGOVINA,Convertible Marks,2022-11-24
BWP,0.0778,BOTSWANA,Botswana Pula,2022-11-24
BRL,5.3303,BRAZIL,Real,2022-11-24
BND,1.3751,BRUNEI DARUSSALAM,Brunei Dollar,2022-11-24
BGN,1.8782,BULGARIA,Bulgarian New Lev,2022-11-24
XOF,629940,BURKINA FASO,CFA Franc,2022-11-24
BIF,2059727,BURUNDI,Burundi Franc,2022-11-24
KHR,4135.56,CAMBODIA,Cambodian Riel,2022-11-24
XAF,629940,CAMEROON,CFA Franc,2022-11-24
CAD,1.3343,CANADA,Canadian Dollar,2022-11-24
CVE,105892,CAPE VERDE,Cape Verde Escudo,2022-11-24
KYD,0.82,CAYMAN (Islands),Cayman Dollar,2022-11-24
XAF,629940,CENTRAL AFRICAN REPUBLIC,CFA Franc,2022-11-24
XAF,629940,CHAD,CFA Franc,2022-11-24
CLP,915.83,CHILE,Chilean Peso,2022-11-24
CNY,7.1489,CHINA (People Republic of),Renminbi,2022-11-24
COP,4884.51,COLOMBIA,Colombian Peso,2022-11-24
KMF,472.45534,COMOROS,Comorian Franc,2022-11-24
CDF,2013.9560,CONGO (Democratic Republic of),Franc Congolais,2022-11-24
XAF,629940,CONGO (Republic of),CFA Franc,2022-11-24
CRC,607.86,COSTA RICA,Costa Rican Colon,2022-11-24
XOF,629940,COTE D IVOIRE,CFA Franc,2022-11-24
HRK,7.2477,CROATIA,Kuna,2022-11-24
CUP,24,CUBA,Cuban Peso,2022-11-24
CZK,23.4246,CZECH REPUBLIC,Czech Koruna,2022-11-24
DKK,7.1419,DENMARK,Danish Krone,2022-11-24
DJF,177721,DJIBOUTI,Djibouti Franc,2022-11-24
XCD,2.70,DOMINICA,East Caribbean Dollar,2022-11-24
DOP,54.5183,DOMINICAN REPUBLIC,Dominican Peso,2022-11-24
